case,run,VB,time,DOC,feed,material,smcAC_mean,smcDC_mean,vib_table_mean,vib_spindle_mean,AE_table_mean,AE_spindle_mean
1,1,0.0,2.0,1.5,0.5,1,-0.16425537109375,5.438449435763889,1.6121793619791667,0.5503841145833334,0.16963148328993055,0.18850409613715277
1,4,0.11,7.0,1.5,0.5,1,-0.16282307942708332,5.827789171006945,1.4277110460069444,0.5097483995225695,0.18783169216579862,0.2169057888454861
1,6,0.2,15.0,1.5,0.5,1,-0.15732747395833332,7.148231879340278,0.9306100802951389,0.460113525390625,0.2076568603515625,0.2185724555121528
1,7,0.24,19.0,1.5,0.5,1,-0.15789252387152777,7.490556098090278,1.4947148980034721,0.4014152018229167,0.18704745822482638,0.28588609483506944
1,8,0.29,22.0,1.5,0.5,1,-0.17752332899305556,7.818536783854166,0.86292724609375,0.40655978732638887,0.2363339572482639,0.2691421169704861
1,9,0.28,26.0,1.5,0.5,1,-0.15953721788194444,7.855196940104166,1.3497276475694444,0.39948988172743055,0.2460666232638889,0.3289683702256944
1,10,0.29,29.0,1.5,0.5,1,-0.1463259548611111,8.068226453993056,0.78770263671875,0.3742404513888889,0.2702250162760417,0.3106056722005208
1,11,0.38,32.0,1.5,0.5,1,-0.154833984375,7.9936322699652775,0.7170203993055555,0.35663248697916666,0.2637926567925347,0.38342597113715277
1,12,0.4,35.0,1.5,0.5,1,-0.15418728298611112,8.018026801215278,1.141506076388889,0.4461325412326389,0.26397148980034724,0.3429695638020833
1,13,0.43,38.0,1.5,0.5,1,-0.15311686197916666,8.116930338541666,0.8833414713541666,0.3694211154513889,0.27716078016493056,0.33874484592013887
1,14,0.45,41.0,1.5,0.5,1,-0.14756673177083332,8.155065104166667,1.0134209526909723,0.37719021267361114,0.29154310438368053,0.36498277452256944
1,15,0.5,44.0,1.5,0.5,1,-0.1563400607638889,8.296011284722223,0.6999039713541667,0.3849233669704861,0.30763014051649307,0.39576863606770835
1,17,0.44,48.0,1.5,0.5,1,-0.14747721354166668,8.28,1.0126236979166667,0.38114583333333335,0.28216932508680553,0.4191400146484375
2,1,0.08,3.0,0.75,0.5,1,3.5280086424329876e+25,-9.446331786610128e+16,1.0584077337533632e+26,4.6468253994381075e+30,-1.1560133349358495e+30,-4.699516158286029e+25
2,2,0.14,9.0,0.75,0.5,1,-0.17634440104166665,4.044118923611111,0.7327194552951389,0.45936143663194445,0.14212226019965277,0.21649210611979167
2,3,0.14,12.0,0.75,0.5,1,-0.17982476128472222,4.089541015625,0.7553133138020833,0.45927910698784724,0.15471401638454862,0.21594618055555556
2,4,0.14,15.0,0.75,0.5,1,-0.17196180555555557,4.342749565972222,1.0291834852430555,0.38013251410590276,0.144810791015625,0.2074698215060764
2,5,0.15,22.0,0.75,0.5,1,-0.17194498697916666,4.627128363715277,0.9865782335069444,0.33560004340277777,0.08535630967881945,0.20311930338541667
2,7,0.18,27.0,0.75,0.5,1,-0.16674045138888888,4.985134006076389,0.7194590928819444,0.32281087239583334,0.16193162706163194,0.19299472384982638
2,8,0.22,33.0,0.75,0.5,1,-0.16713948567708334,5.3473122829861115,0.8538145616319445,0.3290787760416667,0.17106180826822917,0.21616780598958332
2,9,0.26,39.0,0.75,0.5,1,-0.16352349175347222,5.961409505208334,0.8194854058159722,0.30199503580729165,0.17760701497395834,0.2697915310329861
2,10,0.31,45.0,0.75,0.5,1,-0.16091200086805554,6.2446489800347225,0.7520345052083334,0.33510606553819444,0.19243855794270834,0.28283528645833333
2,11,0.38,51.0,0.75,0.5,1,-0.16134223090277777,7.0578271484375,0.5336482747395833,0.3351628960503472,0.2064763726128472,0.3233123101128472
2,12,0.43,59.0,0.75,0.5,1,-0.16300889756944445,7.135653211805556,0.7833219401041667,0.31990397135416665,0.22443488226996527,0.3481432427300347
2,13,0.48,66.0,0.75,0.5,1,-0.1576150173611111,7.936211480034722,0.5074161783854166,0.28387532552083333,0.24197530110677085,0.3918490939670139
2,14,0.55,72.0,0.75,0.5,1,-0.15812445746527778,7.712771267361111,0.4362356228298611,0.2766118706597222,0.24990688747829862,0.35015489366319447
3,1,0.0,0.0,0.75,0.25,1,-0.1841259765625,3.3854106987847223,1.1785240342881944,0.283421630859375,0.13543592664930557,0.18696512858072917
3,2,0.13,3.0,0.75,0.25,1,-0.17283040364583332,3.288376736111111,0.8593155924479167,0.290269775390625,0.13725138346354165,0.16852450900607638
3,3,0.13,9.0,0.75,0.25,1,-0.1774875217013889,3.5270301649305558,0.7512087673611111,0.2855999077690972,0.14192179361979165,0.1753927273220486
3,5,0.17,21.0,0.75,0.25,1,-0.15924913194444446,3.878587239583333,0.7984168836805555,0.3224526638454861,0.15619486490885418,0.1949051242404514
3,6,0.19,27.0,0.75,0.25,1,-0.1629098849826389,4.225169813368056,0.9952956814236111,0.3200185818142361,0.15589029947916666,0.22177666558159723
3,7,0.2,33.0,0.75,0.25,1,-0.16742485894097223,4.040774197048611,0.6992073567708333,0.30771348741319443,0.16277560763888888,0.20615098741319443
3,8,0.23,39.0,0.75,0.25,1,-0.16893500434027778,4.678594835069444,0.6264409722222222,0.28142510308159724,0.1626056586371528,0.21421298556857638
3,9,0.23,45.0,0.75,0.25,1,-0.16246012369791665,4.383597547743055,0.6637386067708333,0.27443996853298613,0.16417683919270834,0.2185155571831597
3,10,0.26,51.0,0.75,0.25,1,-0.16125542534722223,5.438609483506944,0.5594273546006945,0.2911749945746528,0.1899123806423611,0.2584804958767361
3,11,0.28,57.0,0.75,0.25,1,-0.16254421657986112,5.589153645833333,0.7331949869791666,0.27013712565104164,0.1923516845703125,0.29396898057725696
3,12,0.33,63.0,0.75,0.25,1,-0.15549370659722223,6.036658528645833,0.5372319878472223,0.2627998860677083,0.21312981499565972,0.2792169867621528
